provider_match_id,kickoff_time_utc,competition,source_market,model_name,model_approach,side,handicap_line,odds,entry_odds,closing_odds,model_probability,implied_probability,entry_implied_probability,entry_implied_prob,implied_probability_closing,closing_implied_probability,closing_implied_prob,edge,clv_implied_edge,clv_pct,confidence_score,stake,stake_policy,stake_reason,raw_kelly_fraction,applied_stake_fraction,bankroll_before,bankroll_after,drawdown_after,expected_value,expected_roi,outcome,pnl,roi,total_return,components_json
E0_2324_0012,2023-08-19 15:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,-2.0,1.86,1.86,1.86,0.6982362336388013,0.523076923076923,0.523076923076923,0.523076923076923,0.523076923076923,0.523076923076923,0.523076923076923,0.17515931056187828,0.0,0.0,0.3964724672776025,100.0,fractional_kelly,fractional_kelly+max_stake_cap,0.34734813321880276,0.01,10000.0,9900.0,0.01,29.871939456817042,0.2987193945681704,lose,-100.0,-1.0,0.0,"[{""line"": -2.0, ""stake"": 100.0, ""outcome"": ""lose"", ""pnl"": -100.0, ""total_return"": 0.0}]"
E0_2324_0015,2023-08-19 20:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,home,-0.75,1.92,1.92,1.92,0.7869788051203098,0.5076923076923077,0.5076923076923077,0.5076923076923077,0.5076923076923077,0.5076923076923077,0.5076923076923077,0.27928649742800216,0.0,0.0,0.5739576102406196,99.0,fractional_kelly,fractional_kelly+max_stake_cap,0.5554340280771684,0.01,9900.0,9945.54,0.005445999999999913,50.58893127726849,0.5109993058309948,half-win,45.53999999999999,0.4599999999999999,144.54,"[{""line"": -1.0, ""stake"": 49.5, ""outcome"": ""push"", ""pnl"": 0.0, ""total_return"": 49.5}, {""line"": -0.5, ""stake"": 49.5, ""outcome"": ""win"", ""pnl"": 45.53999999999999, ""total_return"": 95.03999999999999}]"
E0_2324_0016,2023-08-20 14:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,-0.75,1.99,1.99,1.99,0.7066435528783561,0.4897435897435898,0.4897435897435898,0.4897435897435898,0.4897435897435898,0.4897435897435898,0.4897435897435898,0.21689996313476634,0.0,0.0,0.4132871057567122,99.45540000000001,fractional_kelly,fractional_kelly+max_stake_cap,0.41032390932114005,0.01,9945.54,9846.0846,0.015391539999999987,40.400839245786734,0.40622067022792857,lose,-99.45540000000001,-1.0,0.0,"[{""line"": -1.0, ""stake"": 49.727700000000006, ""outcome"": ""lose"", ""pnl"": -49.727700000000006, ""total_return"": 0.0}, {""line"": -0.5, ""stake"": 49.727700000000006, ""outcome"": ""lose"", ""pnl"": -49.727700000000006, ""total_return"": 0.0}]"
E0_2324_0017,2023-08-20 16:30:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,0.5,2.08,2.08,2.08,0.672099836726215,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.2054331700595483,0.0,0.0,0.3441996734524299,98.460846,fractional_kelly,fractional_kelly+max_stake_cap,0.36848857443567334,0.01,9846.0846,9747.623754,0.02523762459999998,39.184232522692,0.3979676603905272,lose,-98.460846,-1.0,0.0,"[{""line"": 0.5, ""stake"": 98.460846, ""outcome"": ""lose"", ""pnl"": -98.460846, ""total_return"": 0.0}]"
E0_2324_0018,2023-08-21 20:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,1.0,2.06,2.06,2.06,0.7197670803310268,0.4717948717948718,0.4717948717948718,0.4717948717948718,0.4717948717948718,0.4717948717948718,0.4717948717948718,0.24797220853615498,0.0,0.0,0.4395341606620535,97.47623754,fractional_kelly,fractional_kelly+max_stake_cap,0.45539640139803317,0.01,9747.623754,9850.9485657924,0.014905143420760032,47.053747465388014,0.4827201854819151,win,103.3248117924,1.06,200.8010493324,"[{""line"": 1.0, ""stake"": 97.47623754, ""outcome"": ""win"", ""pnl"": 103.3248117924, ""total_return"": 200.8010493324}]"
E0_2324_0019,2023-08-25 20:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,-1.5,1.98,1.98,1.98,0.6709890329750146,0.4961832061068702,0.4961832061068702,0.4961832061068702,0.4961832061068702,0.4961832061068702,0.4961832061068702,0.17480582686814433,0.0,0.0,0.3419780659500291,98.509485657924,fractional_kelly,fractional_kelly+max_stake_cap,0.3352635564189069,0.01,9850.9485657924,9752.439080134476,0.024756091986552382,32.366107692619444,0.3285582852905287,lose,-98.509485657924,-1.0,0.0,"[{""line"": -1.5, ""stake"": 98.509485657924, ""outcome"": ""lose"", ""pnl"": -98.509485657924, ""total_return"": 0.0}]"
E0_2324_0021,2023-08-26 15:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,-1.75,2.05,2.05,2.05,0.6241463917593923,0.4743589743589744,0.4743589743589744,0.4743589743589744,0.4743589743589744,0.4743589743589744,0.4743589743589744,0.14978741740041795,0.0,0.0,0.2482927835187847,97.52439080134477,fractional_kelly,fractional_kelly+max_stake_cap,0.266190574387385,0.01,9752.439080134476,9654.91468933313,0.03450853106668692,27.258077284399256,0.2795001031067542,lose,-97.52439080134477,-1.0,0.0,"[{""line"": -2.0, ""stake"": 48.76219540067238, ""outcome"": ""lose"", ""pnl"": -48.76219540067238, ""total_return"": 0.0}, {""line"": -1.5, ""stake"": 48.76219540067238, ""outcome"": ""lose"", ""pnl"": -48.76219540067238, ""total_return"": 0.0}]"
E0_2324_0025,2023-08-26 17:30:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,-1.0,2.04,2.04,2.04,0.6078060192671986,0.4769230769230769,0.4769230769230769,0.4769230769230769,0.4769230769230769,0.4769230769230769,0.4769230769230769,0.13088294234412168,0.0,0.0,0.2156120385343971,96.54914689333131,fractional_kelly,fractional_kelly+max_stake_cap,0.23069642240873564,0.01,9654.91468933313,9755.325802102196,0.024467419789780433,23.16448448590331,0.2399242793050851,win,100.41111276906457,1.04,196.96025966239588,"[{""line"": -1.0, ""stake"": 96.54914689333131, ""outcome"": ""win"", ""pnl"": 100.41111276906457, ""total_return"": 196.96025966239588}]"
E0_2324_0026,2023-08-27 14:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,0.25,1.88,1.88,1.88,0.6531876282349065,0.517948717948718,0.517948717948718,0.517948717948718,0.517948717948718,0.517948717948718,0.517948717948718,0.1352389102861885,0.0,0.0,0.306375256469813,97.55325802102196,fractional_kelly,fractional_kelly+max_stake_cap,0.25908266032002747,0.01,9755.325802102196,9841.172669160695,0.015882733083930543,22.241434697655734,0.22799274108162415,win,85.84686705849931,0.8799999999999999,183.40012507952127,"[{""line"": 0.0, ""stake"": 48.77662901051098, ""outcome"": ""win"", ""pnl"": 42.92343352924966, ""total_return"": 91.70006253976064}, {""line"": 0.5, ""stake"": 48.77662901051098, ""outcome"": ""win"", ""pnl"": 42.92343352924966, ""total_return"": 91.70006253976064}]"
E0_2324_0028,2023-08-27 16:30:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,-0.25,1.96,1.96,1.96,0.7107440134524912,0.4974358974358974,0.4974358974358974,0.4974358974358974,0.4974358974358974,0.4974358974358974,0.4974358974358974,0.21330811601659377,0.0,0.0,0.4214880269049823,98.41172669160694,fractional_kelly,fractional_kelly+max_stake_cap,0.40943569413216946,0.01,9841.172669160695,9935.647926784637,0.006435207321536291,38.681542683574506,0.39305826636688274,win,94.47525762394265,0.9599999999999999,192.8869843155496,"[{""line"": -0.5, ""stake"": 49.20586334580347, ""outcome"": ""win"", ""pnl"": 47.23762881197133, ""total_return"": 96.4434921577748}, {""line"": 0.0, ""stake"": 49.20586334580347, ""outcome"": ""win"", ""pnl"": 47.23762881197133, ""total_return"": 96.4434921577748}]"
E0_2324_0029,2023-09-01 20:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,0.75,1.99,1.99,1.99,0.683354021197204,0.4936386768447837,0.4936386768447837,0.4936386768447837,0.4936386768447837,0.4936386768447837,0.4936386768447837,0.18971534435242032,0.0,0.0,0.366708042394408,99.35647926784637,fractional_kelly,fractional_kelly+max_stake_cap,0.36350959816407674,0.01,9935.647926784637,10034.010841259806,0.0,35.755863515115735,0.359874502182436,win,98.36291447516791,0.9900000000000001,197.71939374301428,"[{""line"": 0.5, ""stake"": 49.678239633923184, ""outcome"": ""win"", ""pnl"": 49.181457237583956, ""total_return"": 98.85969687150714}, {""line"": 1.0, ""stake"": 49.678239633923184, ""outcome"": ""win"", ""pnl"": 49.181457237583956, ""total_return"": 98.85969687150714}]"
E0_2324_0030,2023-09-02 12:30:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,0.0,1.81,1.81,1.81,0.7303420972856101,0.5406091370558376,0.5406091370558376,0.5406091370558376,0.5406091370558376,0.5406091370558376,0.5406091370558376,0.18973296022977248,0.0,0.0,0.4606841945712201,100.34010841259806,fractional_kelly,fractional_kelly+max_stake_cap,0.39743110628019046,0.01,10034.010841259806,10034.010841259806,0.0,32.30140703546141,0.32191919608695435,push,0.0,0.0,100.34010841259806,"[{""line"": 0.0, ""stake"": 100.34010841259806, ""outcome"": ""push"", ""pnl"": 0.0, ""total_return"": 100.34010841259806}]"
E0_2324_0031,2023-09-02 15:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,-0.75,1.98,1.98,1.98,0.7540784270873229,0.4961832061068702,0.4961832061068702,0.4961832061068702,0.4961832061068702,0.4961832061068702,0.4961832061068702,0.25789522098045264,0.0,0.0,0.5081568541746457,100.34010841259806,fractional_kelly,fractional_kelly+max_stake_cap,0.5031380465641829,0.01,10034.010841259806,9933.670732847208,0.01,49.47522761597786,0.4930752856328992,lose,-100.34010841259806,-1.0,0.0,"[{""line"": -1.0, ""stake"": 50.17005420629903, ""outcome"": ""lose"", ""pnl"": -50.17005420629903, ""total_return"": 0.0}, {""line"": -0.5, ""stake"": 50.17005420629903, ""outcome"": ""lose"", ""pnl"": -50.17005420629903, ""total_return"": 0.0}]"
E0_2324_0036,2023-09-03 14:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,-0.5,1.95,1.95,1.95,0.6171240168128076,0.5038167938931298,0.5038167938931298,0.5038167938931298,0.5038167938931298,0.5038167938931298,0.5038167938931298,0.11330722291967776,0.0,0.0,0.2342480336256152,99.33670732847207,fractional_kelly,fractional_kelly+max_stake_cap,0.2140966660894471,0.01,9933.670732847208,9834.334025518736,0.01989999999999996,20.20427496636257,0.20339183278497475,lose,-99.33670732847207,-1.0,0.0,"[{""line"": -0.5, ""stake"": 99.33670732847207, ""outcome"": ""lose"", ""pnl"": -99.33670732847207, ""total_return"": 0.0}]"
E0_2324_0038,2023-09-03 16:30:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,-0.75,1.92,1.92,1.92,0.7038362586452536,0.5114503816793893,0.5114503816793893,0.5114503816793893,0.5114503816793893,0.5114503816793893,0.5114503816793893,0.1923858769658643,0.0,0.0,0.4076725172905071,98.34334025518736,fractional_kelly,fractional_kelly+max_stake_cap,0.3819191484770509,0.01,9834.334025518736,9735.990685263549,0.029700999999999953,34.554468387158025,0.3513656165988867,lose,-98.34334025518736,-1.0,0.0,"[{""line"": -1.0, ""stake"": 49.17167012759368, ""outcome"": ""lose"", ""pnl"": -49.17167012759368, ""total_return"": 0.0}, {""line"": -0.5, ""stake"": 49.17167012759368, ""outcome"": ""lose"", ""pnl"": -49.17167012759368, ""total_return"": 0.0}]"
E0_2324_0039,2023-09-16 12:30:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,1.25,1.98,1.98,1.98,0.5860586755584165,0.4923076923076923,0.4923076923076923,0.4923076923076923,0.4923076923076923,0.4923076923076923,0.4923076923076923,0.09375098325072423,0.0,0.0,0.172117351116833,97.35990685263549,fractional_kelly,fractional_kelly+max_stake_cap,0.16366956898537216,0.01,9735.990685263549,9831.403393979132,0.02019206979999993,15.61615691120629,0.16039617760566466,win,95.41270871558278,0.98,192.77261556821827,"[{""line"": 1.0, ""stake"": 48.679953426317745, ""outcome"": ""win"", ""pnl"": 47.70635435779139, ""total_return"": 96.38630778410914}, {""line"": 1.5, ""stake"": 48.679953426317745, ""outcome"": ""win"", ""pnl"": 47.70635435779139, ""total_return"": 96.38630778410914}]"
E0_2324_0040,2023-09-16 15:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,-0.5,1.99,1.99,1.99,0.718981310340036,0.4897435897435898,0.4897435897435898,0.4897435897435898,0.4897435897435898,0.4897435897435898,0.4897435897435898,0.2292377205964462,0.0,0.0,0.4379626206800719,98.31403393979132,fractional_kelly,fractional_kelly+max_stake_cap,0.43512404805724403,0.01,9831.403393979132,9733.089360039341,0.029990149101999854,42.351012424432085,0.4307728075766716,lose,-98.31403393979132,-1.0,0.0,"[{""line"": -0.5, ""stake"": 98.31403393979132, ""outcome"": ""lose"", ""pnl"": -98.31403393979132, ""total_return"": 0.0}]"
E0_2324_0048,2023-09-18 19:45:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,-0.25,2.0,2.0,2.0,0.7081542237312091,0.4871794871794872,0.4871794871794872,0.4871794871794872,0.4871794871794872,0.4871794871794872,0.4871794871794872,0.22097473655172184,0.0,0.0,0.4163084474624181,97.33089360039341,fractional_kelly,fractional_kelly+max_stake_cap,0.41630844746241813,0.01,9733.089360039341,9684.423913239145,0.0348401983564898,40.519673204909594,0.4163084474624182,half-lose,-48.665446800196705,-0.5,48.665446800196705,"[{""line"": -0.5, ""stake"": 48.665446800196705, ""outcome"": ""lose"", ""pnl"": -48.665446800196705, ""total_return"": 0.0}, {""line"": 0.0, ""stake"": 48.665446800196705, ""outcome"": ""push"", ""pnl"": 0.0, ""total_return"": 48.665446800196705}]"
E0_2324_0049,2023-09-23 15:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,-0.5,1.92,1.92,1.92,0.6209814010859902,0.5076923076923077,0.5076923076923077,0.5076923076923077,0.5076923076923077,0.5076923076923077,0.5076923076923077,0.11328909339368254,0.0,0.0,0.2419628021719804,96.84423913239145,fractional_kelly,fractional_kelly+max_stake_cap,0.20900466313597954,0.01,9684.423913239145,9587.579674106753,0.044491796372924906,18.62162577040366,0.19228429008510114,lose,-96.84423913239145,-1.0,0.0,"[{""line"": -0.5, ""stake"": 96.84423913239145, ""outcome"": ""lose"", ""pnl"": -96.84423913239145, ""total_return"": 0.0}]"
E0_2324_0052,2023-09-23 17:30:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,-0.75,1.84,1.84,1.84,0.6456273226989211,0.5282051282051282,0.5282051282051282,0.5282051282051282,0.5282051282051282,0.5282051282051282,0.5282051282051282,0.11742219449379288,0.0,0.0,0.2912546453978422,95.87579674106753,fractional_kelly,fractional_kelly+max_stake_cap,0.22375508781668427,0.01,9587.579674106753,9668.11534336925,0.03646552746245742,18.020265748205397,0.1879542737660148,win,80.53566926249674,0.8400000000000001,176.41146600356427,"[{""line"": -1.0, ""stake"": 47.937898370533766, ""outcome"": ""win"", ""pnl"": 40.26783463124837, ""total_return"": 88.20573300178214}, {""line"": -0.5, ""stake"": 47.937898370533766, ""outcome"": ""win"", ""pnl"": 40.26783463124837, ""total_return"": 88.20573300178214}]"
E0_2324_0053,2023-09-23 20:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,0.75,1.95,1.95,1.95,0.760242264743917,0.5,0.5,0.5,0.5,0.5,0.5,0.260242264743917,0.0,0.0,0.520484529487834,96.68115343369251,fractional_kelly,fractional_kelly+max_stake_cap,0.5078657013164611,0.01,9668.11534336925,9759.962439131259,0.027311949973350715,46.645989703052294,0.48247241625063797,win,91.84709576200788,0.95,188.5282491957004,"[{""line"": 0.5, ""stake"": 48.34057671684626, ""outcome"": ""win"", ""pnl"": 45.92354788100394, ""total_return"": 94.2641245978502}, {""line"": 1.0, ""stake"": 48.34057671684626, ""outcome"": ""win"", ""pnl"": 45.92354788100394, ""total_return"": 94.2641245978502}]"
E0_2324_0054,2023-09-24 14:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,home,-0.75,1.87,1.87,1.87,0.6375916956483072,0.5205128205128204,0.5205128205128204,0.5205128205128204,0.5205128205128204,0.5205128205128204,0.5205128205128204,0.11707887513548676,0.0,0.0,0.2751833912966144,97.59962439131259,fractional_kelly,fractional_kelly+max_stake_cap,0.22103042627854536,0.01,9759.962439131259,9662.362814739947,0.03703883047361718,18.768063327938833,0.1922964708623345,lose,-97.59962439131259,-1.0,0.0,"[{""line"": -1.0, ""stake"": 48.799812195656294, ""outcome"": ""lose"", ""pnl"": -48.799812195656294, ""total_return"": 0.0}, {""line"": -0.5, ""stake"": 48.799812195656294, ""outcome"": ""lose"", ""pnl"": -48.799812195656294, ""total_return"": 0.0}]"
E0_2324_0058,2023-09-24 16:30:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,1.25,1.98,1.98,1.98,0.5713598281010346,0.4923076923076923,0.4923076923076923,0.4923076923076923,0.4923076923076923,0.4923076923076923,0.4923076923076923,0.0790521357933423,0.0,0.0,0.1427196562020691,96.62362814739947,fractional_kelly,fractional_kelly+max_stake_cap,0.13397189759188616,0.01,9662.362814739947,9757.053970324398,0.02760181101225869,12.685953798817486,0.13129245964004838,win,94.69115558445148,0.98,191.31478373185095,"[{""line"": 1.0, ""stake"": 48.311814073699736, ""outcome"": ""win"", ""pnl"": 47.34557779222574, ""total_return"": 95.65739186592548}, {""line"": 1.5, ""stake"": 48.311814073699736, ""outcome"": ""win"", ""pnl"": 47.34557779222574, ""total_return"": 95.65739186592548}]"
E0_2324_0059,2023-09-30 12:30:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,home,0.0,1.97,1.97,1.97,0.5666380759595866,0.4987277353689566,0.4987277353689566,0.4987277353689566,0.4987277353689566,0.4987277353689566,0.4987277353689566,0.06791034059063,0.0,0.0,0.1332761519191732,97.57053970324398,fractional_kelly,fractional_kelly+max_stake_cap,0.11987320581483048,0.01,9757.053970324398,9851.697393836545,0.018169548579077575,11.345210585691724,0.11627700964038558,win,94.64342351214665,0.97,192.21396321539063,"[{""line"": 0.0, ""stake"": 97.57053970324398, ""outcome"": ""win"", ""pnl"": 94.64342351214665, ""total_return"": 192.21396321539063}]"
E0_2324_0060,2023-09-30 15:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,1.0,1.93,1.93,1.93,0.6117158634663737,0.5089058524173028,0.5089058524173028,0.5089058524173028,0.5089058524173028,0.5089058524173028,0.5089058524173028,0.10281001104907095,0.0,0.0,0.2234317269327475,98.51697393836545,fractional_kelly,fractional_kelly+max_stake_cap,0.19420603923666804,0.01,9851.697393836545,9943.318179599224,0.009038525380863026,17.793309914721362,0.18061161649010127,win,91.62078576267987,0.93,190.13775970104533,"[{""line"": 1.0, ""stake"": 98.51697393836545, ""outcome"": ""win"", ""pnl"": 91.62078576267987, ""total_return"": 190.13775970104533}]"
E0_2324_0066,2023-09-30 17:30:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,0.25,1.96,1.96,1.96,0.5999352322870073,0.5012722646310432,0.5012722646310432,0.5012722646310432,0.5012722646310432,0.5012722646310432,0.5012722646310432,0.09866296765596405,0.0,0.0,0.1998704645740145,99.43318179599224,fractional_kelly,fractional_kelly+max_stake_cap,0.1832010992526399,0.01,9943.318179599224,9843.884997803232,0.018948140127054362,17.487617478924825,0.1758730552825343,lose,-99.43318179599224,-1.0,0.0,"[{""line"": 0.0, ""stake"": 49.71659089799612, ""outcome"": ""lose"", ""pnl"": -49.71659089799612, ""total_return"": 0.0}, {""line"": 0.5, ""stake"": 49.71659089799612, ""outcome"": ""lose"", ""pnl"": -49.71659089799612, ""total_return"": 0.0}]"
E0_2324_0067,2023-10-01 14:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,0.0,1.89,1.89,1.89,0.5527449452120188,0.5153846153846154,0.5153846153846154,0.5153846153846154,0.5153846153846154,0.5153846153846154,0.5153846153846154,0.03736032982740334,0.0,0.0,0.1054898904240375,74.1409560082301,fractional_kelly,fractional_kelly,0.050211175787320726,0.007531676368098109,9843.884997803232,9843.884997803232,0.018948140127054362,3.313207071900635,0.04468794645071542,push,0.0,0.0,74.1409560082301,"[{""line"": 0.0, ""stake"": 74.1409560082301, ""outcome"": ""push"", ""pnl"": 0.0, ""total_return"": 74.1409560082301}]"
E0_2324_0068,2023-10-02 20:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,0.5,2.05,2.05,2.05,0.6355637372984104,0.4743589743589744,0.4743589743589744,0.4743589743589744,0.4743589743589744,0.4743589743589744,0.4743589743589744,0.16120476293943603,0.0,0.0,0.2711274745968208,98.43884997803232,fractional_kelly,fractional_kelly+max_stake_cap,0.28848158234451554,0.01,9843.884997803232,9947.245790280165,0.008647095598388522,29.817684966129,0.3029056614617413,win,103.36079247693391,1.0499999999999996,201.79964245496623,"[{""line"": 0.5, ""stake"": 98.43884997803232, ""outcome"": ""win"", ""pnl"": 103.36079247693391, ""total_return"": 201.79964245496623}]"
E0_2324_0069,2023-10-03 19:30:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,0.0,1.85,1.85,1.85,0.632831380027089,0.5292620865139949,0.5292620865139949,0.5292620865139949,0.5292620865139949,0.5292620865139949,0.5292620865139949,0.10356929351309418,0.0,0.0,0.2656627600541781,99.47245790280165,fractional_kelly,fractional_kelly+max_stake_cap,0.20086829770601738,0.01,9947.245790280165,10031.797379497546,0.00022059591097488832,16.98373379443386,0.1707380530501148,win,84.55158921738142,0.8500000000000002,184.02404712018307,"[{""line"": 0.0, ""stake"": 99.47245790280165, ""outcome"": ""win"", ""pnl"": 84.55158921738142, ""total_return"": 184.02404712018307}]"
E0_2324_0070,2023-10-07 12:30:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,1.25,2.02,2.02,2.02,0.5786415336407809,0.482051282051282,0.482051282051282,0.482051282051282,0.482051282051282,0.482051282051282,0.482051282051282,0.09659025158949885,0.0,0.0,0.1572830672815617,100.31797379497546,fractional_kelly,fractional_kelly+max_stake_cap,0.16554499799448763,0.01,10031.797379497546,10134.121712768421,0.0,16.93928154611428,0.1688558979543774,win,102.32433327087496,1.02,202.64230706585042,"[{""line"": 1.0, ""stake"": 50.15898689748773, ""outcome"": ""win"", ""pnl"": 51.16216663543748, ""total_return"": 101.32115353292521}, {""line"": 1.5, ""stake"": 50.15898689748773, ""outcome"": ""win"", ""pnl"": 51.16216663543748, ""total_return"": 101.32115353292521}]"
E0_2324_0071,2023-10-07 15:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,0.75,1.99,1.99,1.99,0.6639728604074222,0.4897435897435898,0.4897435897435898,0.4897435897435898,0.4897435897435898,0.4897435897435898,0.4897435897435898,0.17422927066383243,0.0,0.0,0.3279457208148444,101.34121712768422,fractional_kelly,fractional_kelly+max_stake_cap,0.3245515072836062,0.01,10134.121712768421,10234.449517724828,0.0,32.56154032105768,0.3213059922107702,win,100.32780495640736,0.9899999999999999,201.66902208409158,"[{""line"": 0.5, ""stake"": 50.67060856384211, ""outcome"": ""win"", ""pnl"": 50.16390247820368, ""total_return"": 100.83451104204579}, {""line"": 1.0, ""stake"": 50.67060856384211, ""outcome"": ""win"", ""pnl"": 50.16390247820368, ""total_return"": 100.83451104204579}]"
E0_2324_0075,2023-10-07 17:30:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,-0.25,1.99,1.99,1.99,0.5634604032123611,0.4897435897435898,0.4897435897435898,0.4897435897435898,0.4897435897435898,0.4897435897435898,0.4897435897435898,0.07371681346877135,0.0,0.0,0.1269208064247222,102.34449517724829,fractional_kelly,fractional_kelly+max_stake_cap,0.12251131554807948,0.01,10234.449517724828,10183.277270136205,0.004999999999999945,12.41297515583608,0.12128620239259871,half-lose,-51.172247588624145,-0.5,51.172247588624145,"[{""line"": -0.5, ""stake"": 51.172247588624145, ""outcome"": ""lose"", ""pnl"": -51.172247588624145, ""total_return"": 0.0}, {""line"": 0.0, ""stake"": 51.172247588624145, ""outcome"": ""push"", ""pnl"": 0.0, ""total_return"": 51.172247588624145}]"
E0_2324_0076,2023-10-08 14:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,0.25,1.9,1.9,1.9,0.5913816490029002,0.5128205128205129,0.5128205128205129,0.5128205128205129,0.5128205128205129,0.5128205128205129,0.5128205128205129,0.07856113618238736,0.0,0.0,0.1827632980058005,101.83277270136205,fractional_kelly,fractional_kelly+max_stake_cap,0.13736125900612264,0.01,10183.277270136205,10229.102017851817,0.0005224999999999536,12.589090079709067,0.12362513310551038,half-win,45.824747715612915,0.44999999999999996,147.65752041697496,"[{""line"": 0.0, ""stake"": 50.91638635068102, ""outcome"": ""push"", ""pnl"": 0.0, ""total_return"": 50.91638635068102}, {""line"": 0.5, ""stake"": 50.91638635068102, ""outcome"": ""win"", ""pnl"": 45.824747715612915, ""total_return"": 96.74113406629394}]"
E0_2324_0079,2023-10-08 16:30:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,0.25,2.11,2.11,2.11,0.6128865878241279,0.4589743589743589,0.4589743589743589,0.4589743589743589,0.4589743589743589,0.4589743589743589,0.4589743589743589,0.15391222884976896,0.0,0.0,0.2257731756482557,102.29102017851818,fractional_kelly,fractional_kelly+max_stake_cap,0.2641357660440628,0.01,10229.102017851817,10126.8109976733,0.010517274999999939,29.990775841452553,0.29319070030890965,lose,-102.29102017851818,-1.0,0.0,"[{""line"": 0.0, ""stake"": 51.14551008925909, ""outcome"": ""lose"", ""pnl"": -51.14551008925909, ""total_return"": 0.0}, {""line"": 0.5, ""stake"": 51.14551008925909, ""outcome"": ""lose"", ""pnl"": -51.14551008925909, ""total_return"": 0.0}]"
E0_2324_0088,2023-10-22 16:30:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,home,-0.5,1.91,1.91,1.91,0.5911367017369882,0.5139949109414759,0.5139949109414759,0.5139949109414759,0.5139949109414759,0.5139949109414759,0.5139949109414759,0.07714179079551231,0.0,0.0,0.1822734034739763,101.268109976733,fractional_kelly,fractional_kelly+max_stake_cap,0.14183637397543666,0.01,10126.8109976733,10218.964977752126,0.0015129822024999534,13.070786381785446,0.12907110031764732,win,92.15398007882703,0.91,193.42209005556003,"[{""line"": -0.5, ""stake"": 101.268109976733, ""outcome"": ""win"", ""pnl"": 92.15398007882703, ""total_return"": 193.42209005556003}]"
