provider_match_id,source_market,source_url,competition,season,kickoff_time_utc,home_team_name,away_team_name,ft_home_goals,ft_away_goals,handicap_open_line,handicap_close_line,odds_home_open,odds_away_open,odds_home_close,odds_away_close,handicap_side
E0_2324_0366,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2024-05-13 20:00:00+00:00,Aston Villa,Liverpool,3,3,0.75,0.75,1.99,1.91,1.99,1.91,home
E0_2324_0367,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2024-05-14 20:00:00+00:00,Tottenham,Man City,0,2,1.5,1.5,1.95,1.98,1.95,1.98,home
E0_2324_0368,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2024-05-15 19:45:00+00:00,Brighton,Chelsea,1,2,0.5,0.5,1.89,2.01,1.89,2.01,home
E0_2324_0369,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2024-05-15 20:00:00+00:00,Man United,Newcastle,3,2,0.25,0.25,1.83,2.07,1.83,2.07,home
E0_2324_0370,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2024-05-19 16:00:00+00:00,Arsenal,Everton,2,1,-2.0,-2.0,1.83,2.07,1.83,2.07,home
E0_2324_0371,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2024-05-19 16:00:00+00:00,Brentford,Newcastle,2,4,0.25,0.25,1.95,1.95,1.95,1.95,home
E0_2324_0372,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2024-05-19 16:00:00+00:00,Brighton,Man United,0,2,-0.25,-0.25,1.95,1.95,1.95,1.95,home
E0_2324_0373,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2024-05-19 16:00:00+00:00,Burnley,Nott'm Forest,1,2,0.25,0.25,1.86,2.04,1.86,2.04,home
E0_2324_0374,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2024-05-19 16:00:00+00:00,Chelsea,Bournemouth,2,1,-1.25,-1.25,1.91,1.99,1.91,1.99,home
E0_2324_0375,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2024-05-19 16:00:00+00:00,Crystal Palace,Aston Villa,5,0,-0.5,-0.5,1.87,2.03,1.87,2.03,home
E0_2324_0376,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2024-05-19 16:00:00+00:00,Liverpool,Wolves,2,0,-2.25,-2.25,1.91,1.99,1.91,1.99,home
E0_2324_0377,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2024-05-19 16:00:00+00:00,Luton,Fulham,2,4,0.25,0.25,1.91,1.99,1.91,1.99,home
E0_2324_0378,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2024-05-19 16:00:00+00:00,Man City,West Ham,3,1,-2.75,-2.75,1.97,1.93,1.97,1.93,home
E0_2324_0379,NON_HKJC,https://www.football-data.co.uk/mmz4281/2324/E0.csv,E0,2324,2024-05-19 16:00:00+00:00,Sheffield United,Tottenham,0,3,1.5,1.5,2.02,1.88,2.02,1.88,home
