provider_match_id,kickoff_time_utc,competition,source_market,model_name,model_approach,side,handicap_line,odds,model_probability,implied_probability,edge,confidence_score,stake,stake_policy,stake_reason,raw_kelly_fraction,applied_stake_fraction,bankroll_before,bankroll_after,drawdown_after,outcome,pnl,roi,total_return,components_json
E0_2324_0015,2023-08-19 20:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,home,-0.75,1.92,0.7869788051203098,0.5076923076923077,0.27928649742800216,0.5739576102406196,200.0,fractional_kelly,fractional_kelly+max_stake_cap,0.5554340280771684,0.02,10000.0,10092.0,0.0,half-win,92.0,0.46,292.0,"[{""line"": -1.0, ""stake"": 100.0, ""outcome"": ""push"", ""pnl"": 0.0, ""total_return"": 100.0}, {""line"": -0.5, ""stake"": 100.0, ""outcome"": ""win"", ""pnl"": 92.0, ""total_return"": 192.0}]"
E0_2324_0032,2023-09-02 15:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,0.5,1.9,0.8269356742810504,0.5165394402035622,0.3103962340774882,0.6538713485621008,200.0,fractional_kelly,fractional_kelly+max_stake_cap,0.6346419790377731,0.02,10000.0,10180.0,0.0,win,180.0,0.9,380.0,"[{""line"": 0.5, ""stake"": 200.0, ""outcome"": ""win"", ""pnl"": 180.0, ""total_return"": 380.0}]"
E0_2324_0053,2023-09-23 20:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,0.75,1.95,0.760242264743917,0.5,0.260242264743917,0.520484529487834,200.0,fractional_kelly,fractional_kelly+max_stake_cap,0.5078657013164611,0.02,10000.0,10190.0,0.0,win,190.0,0.95,390.0,"[{""line"": 0.5, ""stake"": 100.0, ""outcome"": ""win"", ""pnl"": 95.0, ""total_return"": 195.0}, {""line"": 1.0, ""stake"": 100.0, ""outcome"": ""win"", ""pnl"": 95.0, ""total_return"": 195.0}]"
E0_2324_0120,2023-11-25 12:30:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,home,-0.75,1.97,0.7682373728845052,0.4987277353689566,0.26950963751554863,0.5364747457690104,200.0,fractional_kelly,fractional_kelly+max_stake_cap,0.5293068294664693,0.02,10000.0,9800.0,0.02,lose,-200.0,-1.0,0.0,"[{""line"": -1.0, ""stake"": 100.0, ""outcome"": ""lose"", ""pnl"": -100.0, ""total_return"": 0.0}, {""line"": -0.5, ""stake"": 100.0, ""outcome"": ""lose"", ""pnl"": -100.0, ""total_return"": 0.0}]"
