provider_match_id,kickoff_time_utc,competition,source_market,model_name,model_approach,original_predicted_side,effective_predicted_side,flip_hkjc_side_enabled,side,handicap_line,odds,entry_line,closing_line,entry_odds,closing_odds,model_probability,implied_probability,entry_implied_probability,entry_implied_prob,implied_probability_closing,closing_implied_probability,closing_implied_prob,edge,clv_implied_edge,clv_pct,confidence_score,stake,stake_policy,stake_reason,raw_kelly_fraction,applied_stake_fraction,bankroll_before,bankroll_after,drawdown_after,expected_value,expected_roi,outcome,pnl,roi,total_return,components_json
E0_2324_0015,2023-08-19 20:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,home,home,False,home,-0.75,1.92,-0.75,-0.75,1.92,1.92,0.7869788051203098,0.5076923076923077,0.5076923076923077,0.5076923076923077,0.5076923076923077,0.5076923076923077,0.5076923076923077,0.27928649742800216,0.0,0.0,0.5739576102406196,100.0,flat,flat_stake,0.01,0.01,10000.0,10046.0,0.0,51.09993058309948,0.5109993058309947,half-win,46.0,0.46,146.0,"[{""line"": -1.0, ""stake"": 50.0, ""outcome"": ""push"", ""pnl"": 0.0, ""total_return"": 50.0}, {""line"": -0.5, ""stake"": 50.0, ""outcome"": ""win"", ""pnl"": 46.0, ""total_return"": 96.0}]"
E0_2324_0031,2023-09-02 15:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,away,False,away,-0.75,1.98,-0.75,-0.75,1.98,1.98,0.7540784270873229,0.4961832061068702,0.4961832061068702,0.4961832061068702,0.4961832061068702,0.4961832061068702,0.4961832061068702,0.25789522098045264,0.0,0.0,0.5081568541746457,100.0,flat,flat_stake,0.009954210631096954,0.009954210631096954,10046.0,9946.0,0.009954210631096954,49.307528563289935,0.4930752856328994,lose,-100.0,-1.0,0.0,"[{""line"": -1.0, ""stake"": 50.0, ""outcome"": ""lose"", ""pnl"": -50.0, ""total_return"": 0.0}, {""line"": -0.5, ""stake"": 50.0, ""outcome"": ""lose"", ""pnl"": -50.0, ""total_return"": 0.0}]"
E0_2324_0032,2023-09-02 15:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,away,False,away,0.5,1.9,0.5,0.5,1.9,1.9,0.8269356742810504,0.5165394402035622,0.5165394402035622,0.5165394402035622,0.5165394402035622,0.5165394402035622,0.5165394402035622,0.3103962340774882,0.0,0.0,0.6538713485621008,99.46000000000001,flat,flat_stake+max_stake_cap,0.010054293183189221,0.01,9946.0,10035.514,0.0010437985267769047,56.80934211158721,0.5711777811339956,win,89.51400000000001,0.9,188.97400000000002,"[{""line"": 0.5, ""stake"": 99.46000000000001, ""outcome"": ""win"", ""pnl"": 89.51400000000001, ""total_return"": 188.97400000000002}]"
E0_2324_0033,2023-09-02 15:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,away,False,away,-1.25,2.07,-1.25,-1.25,2.07,2.07,0.8601567858617327,0.4732824427480916,0.4732824427480916,0.4732824427480916,0.4732824427480916,0.4732824427480916,0.4732824427480916,0.3868743431136411,0.0,0.0,0.7203135717234654,100.0,flat,flat_stake,0.009964611678086445,0.009964611678086445,10035.514,9985.514,0.0060209038423253815,78.05245467337866,0.7805245467337866,half-lose,-50.0,-0.5,50.0,"[{""line"": -1.5, ""stake"": 50.0, ""outcome"": ""lose"", ""pnl"": -50.0, ""total_return"": 0.0}, {""line"": -1.0, ""stake"": 50.0, ""outcome"": ""push"", ""pnl"": 0.0, ""total_return"": 50.0}]"
E0_2324_0053,2023-09-23 20:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,away,False,away,0.75,1.95,0.75,0.75,1.95,1.95,0.760242264743917,0.5,0.5,0.5,0.5,0.5,0.5,0.260242264743917,0.0,0.0,0.520484529487834,99.85513999999999,flat,flat_stake+max_stake_cap,0.010014507014861729,0.01,9985.514,10080.376382999999,0.0,48.17735067084573,0.482472416250638,win,94.86238299999998,0.9499999999999998,194.71752299999997,"[{""line"": 0.5, ""stake"": 49.927569999999996, ""outcome"": ""win"", ""pnl"": 47.43119149999999, ""total_return"": 97.35876149999999}, {""line"": 1.0, ""stake"": 49.927569999999996, ""outcome"": ""win"", ""pnl"": 47.43119149999999, ""total_return"": 97.35876149999999}]"
E0_2324_0120,2023-11-25 12:30:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,home,home,False,home,-0.75,1.97,-0.75,-0.75,1.97,1.97,0.7682373728845052,0.4987277353689566,0.4987277353689566,0.4987277353689566,0.4987277353689566,0.4987277353689566,0.4987277353689566,0.26950963751554863,0.0,0.0,0.5364747457690104,100.0,flat,flat_stake,0.009920264502091857,0.009920264502091857,10080.376382999999,9980.376382999999,0.009920264502091857,51.34276245824753,0.5134276245824753,lose,-100.0,-1.0,0.0,"[{""line"": -1.0, ""stake"": 50.0, ""outcome"": ""lose"", ""pnl"": -50.0, ""total_return"": 0.0}, {""line"": -0.5, ""stake"": 50.0, ""outcome"": ""lose"", ""pnl"": -50.0, ""total_return"": 0.0}]"
