cycle_id,alert_time_utc,provider_match_id,alert_state,message,mode
20260403T105213Z,2026-04-03T10:52:13.528976+00:00,,skipped,No candidates passed thresholds.,dry-run
20260403T105433Z,2026-04-03T10:54:33.177701+00:00,,skipped,No candidates passed thresholds.,dry-run
