cycle_id,event_time_utc,level,event,message
20260403T105213Z,2026-04-03T10:52:13.529976+00:00,INFO,cycle_summary,raw=5 normalized=5 inserted=5 skipped=0 candidates=0
20260403T105433Z,2026-04-03T10:54:33.178701+00:00,INFO,cycle_summary,raw=5 normalized=5 inserted=5 skipped=0 candidates=0
