min_edge_threshold,min_confidence_threshold,policy,fractional_kelly_factor,max_stake_pct,daily_max_exposure_pct,roi,max_drawdown,total_bets_placed,win_rate,score
0.03,0.55,fractional_kelly,0.25,0.02,0.03,0.68,0.0,2,0.5,0.6000000000000001
0.03,0.55,vol_target,0.25,0.02,0.03,0.68,0.0,2,0.5,0.6000000000000001
