feature_group,importance_sum,importance_mean,feature_count,importance_share
team_strength,0.012240391855997531,0.0007200230503527959,17,0.8337130601838243
recent_form,0.001635141572891019,7.432461694959177e-05,22,0.11137216035292247
market,0.0007461378008881692,5.739521545293609e-05,13,0.05082066298331013
other,6.010891805815118e-05,7.513614757268898e-06,8,0.004094116479943032
hk_vs_consensus,0.0,0.0,11,0.0
h2h,0.0,0.0,9,0.0
