provider_match_id,kickoff_time_utc,competition,source_market,model_name,model_approach,side,handicap_line,odds,entry_odds,closing_odds,model_probability,implied_probability,entry_implied_probability,entry_implied_prob,implied_probability_closing,closing_implied_probability,closing_implied_prob,edge,clv_implied_edge,clv_pct,confidence_score,stake,stake_policy,stake_reason,raw_kelly_fraction,applied_stake_fraction,bankroll_before,bankroll_after,drawdown_after,expected_value,expected_roi,outcome,pnl,roi,total_return,components_json
E0_2324_0015,2023-08-19 20:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,home,-0.75,1.92,1.92,1.92,0.7869788051203098,0.5076923076923077,0.5076923076923077,0.5076923076923077,0.5076923076923077,0.5076923076923077,0.5076923076923077,0.27928649742800216,0.0,0.0,0.5739576102406196,100.0,flat,flat_stake,0.01,0.01,10000.0,10046.0,0.0,51.09993058309948,0.5109993058309947,half-win,46.0,0.46,146.0,"[{""line"": -1.0, ""stake"": 50.0, ""outcome"": ""push"", ""pnl"": 0.0, ""total_return"": 50.0}, {""line"": -0.5, ""stake"": 50.0, ""outcome"": ""win"", ""pnl"": 46.0, ""total_return"": 96.0}]"
E0_2324_0031,2023-09-02 15:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,-0.75,1.98,1.98,1.98,0.7540784270873229,0.4961832061068702,0.4961832061068702,0.4961832061068702,0.4961832061068702,0.4961832061068702,0.4961832061068702,0.25789522098045264,0.0,0.0,0.5081568541746457,100.0,flat,flat_stake,0.009954210631096954,0.009954210631096954,10046.0,9946.0,0.009954210631096954,49.307528563289935,0.4930752856328994,lose,-100.0,-1.0,0.0,"[{""line"": -1.0, ""stake"": 50.0, ""outcome"": ""lose"", ""pnl"": -50.0, ""total_return"": 0.0}, {""line"": -0.5, ""stake"": 50.0, ""outcome"": ""lose"", ""pnl"": -50.0, ""total_return"": 0.0}]"
E0_2324_0032,2023-09-02 15:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,0.5,1.9,1.9,1.9,0.8269356742810504,0.5165394402035622,0.5165394402035622,0.5165394402035622,0.5165394402035622,0.5165394402035622,0.5165394402035622,0.3103962340774882,0.0,0.0,0.6538713485621008,99.46000000000001,flat,flat_stake+max_stake_cap,0.010054293183189221,0.01,9946.0,10035.514,0.0010437985267769047,56.80934211158721,0.5711777811339956,win,89.51400000000001,0.9,188.97400000000002,"[{""line"": 0.5, ""stake"": 99.46000000000001, ""outcome"": ""win"", ""pnl"": 89.51400000000001, ""total_return"": 188.97400000000002}]"
E0_2324_0035,2023-09-02 17:30:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,0.0,1.99,1.99,1.99,0.7653118257189653,0.4936386768447837,0.4936386768447837,0.4936386768447837,0.4936386768447837,0.4936386768447837,0.4936386768447837,0.2716731488741816,0.0,0.0,0.5306236514379306,100.0,flat,flat_stake,0.009964611678086445,0.009964611678086445,10035.514,9935.514,0.01099800915787386,52.2970533180741,0.5229705331807409,lose,-100.0,-1.0,0.0,"[{""line"": 0.0, ""stake"": 100.0, ""outcome"": ""lose"", ""pnl"": -100.0, ""total_return"": 0.0}]"
E0_2324_0053,2023-09-23 20:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,0.75,1.95,1.95,1.95,0.760242264743917,0.5,0.5,0.5,0.5,0.5,0.5,0.260242264743917,0.0,0.0,0.520484529487834,99.35513999999999,flat,flat_stake+max_stake_cap,0.01006490454343882,0.01,9935.514,10029.901382999999,0.0016024902448737277,47.93611446272041,0.482472416250638,win,94.38738299999999,0.95,193.74252299999998,"[{""line"": 0.5, ""stake"": 49.677569999999996, ""outcome"": ""win"", ""pnl"": 47.19369149999999, ""total_return"": 96.87126149999999}, {""line"": 1.0, ""stake"": 49.677569999999996, ""outcome"": ""win"", ""pnl"": 47.19369149999999, ""total_return"": 96.87126149999999}]"
E0_2324_0120,2023-11-25 12:30:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,home,-0.75,1.97,1.97,1.97,0.7682373728845052,0.4987277353689566,0.4987277353689566,0.4987277353689566,0.4987277353689566,0.4987277353689566,0.4987277353689566,0.26950963751554863,0.0,0.0,0.5364747457690104,100.0,flat,flat_stake,0.009970187759721466,0.009970187759721466,10029.901382999999,9929.901382999999,0.011556700875970681,51.34276245824753,0.5134276245824753,lose,-100.0,-1.0,0.0,"[{""line"": -1.0, ""stake"": 50.0, ""outcome"": ""lose"", ""pnl"": -50.0, ""total_return"": 0.0}, {""line"": -0.5, ""stake"": 50.0, ""outcome"": ""lose"", ""pnl"": -50.0, ""total_return"": 0.0}]"
