cycle_id,event_time_utc,level,event,message
20260404T103615Z,2026-04-04T10:36:16.032429+00:00,INFO,cycle_summary,raw=72 normalized=72 inserted=72 skipped=0 candidates=0
20260404T104116Z,2026-04-04T10:41:16.731191+00:00,INFO,cycle_summary,raw=73 normalized=73 inserted=73 skipped=0 candidates=0
