fetch_time_utc,provider,provider_match_id,kickoff_time_utc,competition,home_team_name,away_team_name,market_type,handicap_side,handicap_line,odds_home,odds_away,source_market,raw_reference,data_status,parse_status
2026-04-04T13:41:20.274951+00:00,hkjc,50065231_HDC_2,2026-04-04 16:00:00+00:00,Italian Division 1,Verona,Fiorentina,AH,home,0.25,2.14,1.72,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50065231_HDC_1,2026-04-04 16:00:00+00:00,Italian Division 1,Verona,Fiorentina,AH,home,0.75,1.64,2.28,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50066279_HDC_1,2026-04-04 16:15:00+00:00,Saudi Pro League,Al Ahli Jeddah,Damac FC,AH,home,-1.75,1.84,1.92,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50064778_HDC_3,2026-04-04 16:15:00+00:00,FA Cup,Chelsea,Port Vale,AH,home,-2.75,1.79,2.02,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50064778_HDC_1,2026-04-04 16:15:00+00:00,FA Cup,Chelsea,Port Vale,AH,home,-3.0,1.95,1.85,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50064778_HDC_2,2026-04-04 16:15:00+00:00,FA Cup,Chelsea,Port Vale,AH,home,-3.25,2.2,1.66,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50066297_HDC_1,2026-04-04 16:30:00+00:00,Spanish Division 1,Betis,Espanyol,AH,home,-0.75,1.93,1.89,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50065122_HDC_1,2026-04-04 16:30:00+00:00,German Division 1,Stuttgart,Dortmund,AH,home,-0.25,1.93,1.89,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50066053_HDC_1,2026-04-04 16:30:00+00:00,UAE Pro League,Shabab Al Ahli,Al Jazira,AH,home,-0.75,1.89,1.87,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50066246_HDC_1,2026-04-04 16:45:00+00:00,Russian Premier,Akhmat Grozny,FK Krasnodar,AH,home,0.75,1.71,2.12,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50065092_HDC_1,2026-04-04 16:45:00+00:00,Dutch Division 1,AZ Alkmaar,Fortuna Sittard,AH,home,-1.25,1.68,2.17,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50065108_HDC_2,2026-04-04 17:00:00+00:00,French Division 1,Brest,Rennes,AH,home,0.25,1.76,2.08,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50065770_HDC_1,2026-04-04 17:00:00+00:00,Portuguese Premier,Moreirense,Braga,AH,home,1.0,1.89,1.91,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50066280_HDC_1,2026-04-04 17:30:00+00:00,Qatar Stars League,Al Duhail,Al Gharafa,AH,home,-0.75,1.86,1.9,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50065681_HDC_1,2026-04-04 18:00:00+00:00,Saudi Pro League,Al Hilal,Al Taawoun,AH,home,-1.75,1.99,1.78,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50065482_HDC_1,2026-04-04 18:00:00+00:00,French Division 2,Nancy,St. Etienne,AH,home,0.25,2.12,1.71,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50065607_HDC_1,2026-04-04 18:30:00+00:00,German Division 2,Dresden,Hertha Berlin,AH,home,0.0,1.9,1.9,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50065230_HDC_1,2026-04-04 18:45:00+00:00,Italian Division 1,Lazio,Parma,AH,home,-0.75,2.02,1.81,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50065102_HDC_1,2026-04-04 19:00:00+00:00,Spanish Division 1,Atletico Madrid,Barcelona,AH,home,0.25,1.95,1.87,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50064779_HDC_1,2026-04-04 19:00:00+00:00,FA Cup,Southampton,Arsenal,AH,home,1.25,1.96,1.86,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50065094_HDC_1,2026-04-04 19:00:00+00:00,Dutch Division 1,Ajax,Twente,AH,home,-0.25,1.98,1.82,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50065111_HDC_1,2026-04-04 19:05:00+00:00,French Division 1,Lille,Lens,AH,home,0.0,2.08,1.76,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50065774_HDC_1,2026-04-04 19:30:00+00:00,Portuguese Premier,Porto,Famalicao,AH,home,-1.25,2.02,1.79,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50066282_HDC_1,2026-04-04 20:00:00+00:00,USL Championship,Louisville City,Charleston Battery,AH,home,-0.75,1.96,1.81,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50063021_HDC_1,2026-04-04 20:30:00+00:00,US Major League,New England Revolution,CF Montreal,AH,home,-0.25,1.67,2.18,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50066040_HDC_1,2026-04-04 21:00:00+00:00,USL Championship,Loudoun Utd,Birmingham Legion,AH,home,-0.25,2.06,1.73,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50065420_HDC_1,2026-04-04 21:30:00+00:00,Brazilian Division 1,Sao Paulo,Cruzeiro,AH,home,-0.25,1.79,2.02,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50059934_HDC_1,2026-04-04 23:00:00+00:00,Mexican Premier,Queretaro,Toluca,AH,home,1.0,1.87,1.93,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50064747_HDC_1,2026-04-04 23:00:00+00:00,Mexican Premier,Monterrey,Atletico San Luis,AH,home,-0.75,1.71,2.12,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50063392_HDC_2,2026-04-04 23:30:00+00:00,US Major League,Inter Miami CF,Austin FC,AH,home,-1.25,1.81,1.99,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50063392_HDC_1,2026-04-04 23:30:00+00:00,US Major League,Inter Miami CF,Austin FC,AH,home,-1.75,2.09,1.7,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50066288_HDC_1,2026-04-04 23:30:00+00:00,US Major League,New York City,St. Louis City SC,AH,home,-0.75,1.93,1.87,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50062867_HDC_1,2026-04-04 23:30:00+00:00,US Major League,New York Red Bulls,FC Cincinnati,AH,home,-0.25,1.81,1.99,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50065415_HDC_1,2026-04-04 23:30:00+00:00,Brazilian Division 1,Coritiba,Fluminense,AH,home,0.25,1.81,1.99,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50065942_HDC_1,2026-04-04 23:58:00+00:00,Argentine Division 1,Rosario Central,Atletico Tucuman,AH,home,-0.75,1.93,1.87,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50065421_HDC_1,2026-04-05 00:00:00+00:00,Brazilian Division 1,Vasco da Gama,Botafogo,AH,home,-0.25,1.7,2.13,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50062839_HDC_1,2026-04-05 00:30:00+00:00,US Major League,Houston Dynamo,Seattle Sounders,AH,home,0.0,1.9,1.9,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50066291_HDC_1,2026-04-05 01:00:00+00:00,Mexican Premier,Cruz Azul,Pachuca,AH,home,-0.75,2.06,1.76,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50059936_HDC_1,2026-04-05 01:00:00+00:00,Mexican Premier,Club Leon,Atlas,AH,home,-0.25,1.93,1.87,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50062966_HDC_1,2026-04-05 01:30:00+00:00,US Major League,Los Angeles FC,Orlando City,AH,home,-1.75,2.07,1.75,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50066292_HDC_1,2026-04-05 02:00:00+00:00,USL Championship,Orange County SC,New Mexico Utd,AH,home,-0.25,1.93,1.83,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50062967_HDC_1,2026-04-05 02:30:00+00:00,US Major League,LA Galaxy,Minnesota Utd,AH,home,-0.25,1.68,2.17,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50063066_HDC_1,2026-04-05 02:30:00+00:00,US Major League,Vancouver Whitecaps,Portland Timbers,AH,home,-1.75,1.99,1.81,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50059935_HDC_2,2026-04-05 03:10:00+00:00,Mexican Premier,Santos Laguna,CF America,AH,home,0.75,2.06,1.76,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50059935_HDC_1,2026-04-05 03:10:00+00:00,Mexican Premier,Santos Laguna,CF America,AH,home,1.0,1.77,2.04,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50065542_HDC_1,2026-04-05 04:00:00+00:00,J1 100Y Vision League,V-Varen Nagasaki,Shimizu S-Pulse,AH,home,0.0,1.91,1.85,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
2026-04-04T13:41:20.274951+00:00,hkjc,50065544_HDC_1,2026-04-05 04:00:00+00:00,J2 J3 100Y Vision League,Vanraure Hachinohe,Montedio Yamagata,AH,home,-0.25,1.76,2.02,HKJC_LIKE,artifacts\live\raw\latest_raw_hkjc.json,ok,ok
