provider_match_id,kickoff_time_utc,competition,source_market,model_name,model_approach,original_predicted_side,effective_predicted_side,flip_hkjc_side_enabled,side,handicap_line,odds,entry_line,closing_line,entry_odds,closing_odds,model_probability,implied_probability,entry_implied_probability,entry_implied_prob,implied_probability_closing,closing_implied_probability,closing_implied_prob,edge,clv_implied_edge,clv_pct,confidence_score,stake,stake_policy,stake_reason,raw_kelly_fraction,applied_stake_fraction,bankroll_before,bankroll_after,drawdown_after,expected_value,expected_roi,outcome,pnl,roi,total_return,components_json
E0_2324_0015,2023-08-19 20:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,home,home,False,home,-0.75,1.92,-0.75,-0.75,1.92,1.92,0.7869788051203098,0.5076923076923077,0.5076923076923077,0.5076923076923077,0.5076923076923077,0.5076923076923077,0.5076923076923077,0.27928649742800216,0.0,0.0,0.5739576102406196,100.0,fractional_kelly,fractional_kelly+max_stake_cap,0.5554340280771684,0.01,10000.0,10046.0,0.0,51.09993058309948,0.5109993058309947,half-win,46.0,0.46,146.0,"[{""line"": -1.0, ""stake"": 50.0, ""outcome"": ""push"", ""pnl"": 0.0, ""total_return"": 50.0}, {""line"": -0.5, ""stake"": 50.0, ""outcome"": ""win"", ""pnl"": 46.0, ""total_return"": 96.0}]"
E0_2324_0031,2023-09-02 15:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,away,False,away,-0.75,1.98,-0.75,-0.75,1.98,1.98,0.7540784270873229,0.4961832061068702,0.4961832061068702,0.4961832061068702,0.4961832061068702,0.4961832061068702,0.4961832061068702,0.25789522098045264,0.0,0.0,0.5081568541746457,100.46000000000001,fractional_kelly,fractional_kelly+max_stake_cap,0.5031380465641829,0.01,10046.0,9945.54,0.009999999999999913,49.53434319468107,0.4930752856328993,lose,-100.46000000000001,-1.0,0.0,"[{""line"": -1.0, ""stake"": 50.230000000000004, ""outcome"": ""lose"", ""pnl"": -50.230000000000004, ""total_return"": 0.0}, {""line"": -0.5, ""stake"": 50.230000000000004, ""outcome"": ""lose"", ""pnl"": -50.230000000000004, ""total_return"": 0.0}]"
E0_2324_0032,2023-09-02 15:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,away,False,away,0.5,1.9,0.5,0.5,1.9,1.9,0.8269356742810504,0.5165394402035622,0.5165394402035622,0.5165394402035622,0.5165394402035622,0.5165394402035622,0.5165394402035622,0.3103962340774882,0.0,0.0,0.6538713485621008,99.45540000000001,fractional_kelly,fractional_kelly+max_stake_cap,0.6346419790377731,0.01,9945.54,10035.049860000001,0.0010899999999999014,56.80671469379401,0.5711777811339958,win,89.50985999999999,0.8999999999999998,188.96526,"[{""line"": 0.5, ""stake"": 99.45540000000001, ""outcome"": ""win"", ""pnl"": 89.50985999999999, ""total_return"": 188.96526}]"
E0_2324_0033,2023-09-02 15:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,away,False,away,-1.25,2.07,-1.25,-1.25,2.07,2.07,0.8601567858617327,0.4732824427480916,0.4732824427480916,0.4732824427480916,0.4732824427480916,0.4732824427480916,0.4732824427480916,0.3868743431136411,0.0,0.0,0.7203135717234654,100.35049860000001,fractional_kelly,fractional_kelly+max_stake_cap,0.7294621932091464,0.01,10035.049860000001,9984.8746107,0.006084549999999937,78.3260274342745,0.7805245467337866,half-lose,-50.175249300000004,-0.5,50.175249300000004,"[{""line"": -1.5, ""stake"": 50.175249300000004, ""outcome"": ""lose"", ""pnl"": -50.175249300000004, ""total_return"": 0.0}, {""line"": -1.0, ""stake"": 50.175249300000004, ""outcome"": ""push"", ""pnl"": 0.0, ""total_return"": 50.175249300000004}]"
E0_2324_0053,2023-09-23 20:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,away,False,away,0.75,1.95,0.75,0.75,1.95,1.95,0.760242264743917,0.5,0.5,0.5,0.5,0.5,0.5,0.260242264743917,0.0,0.0,0.520484529487834,99.84874610700001,fractional_kelly,fractional_kelly+max_stake_cap,0.5078657013164611,0.01,9984.8746107,10079.730919501651,0.0,48.17426579384078,0.482472416250638,win,94.85630880165002,0.9500000000000001,194.70505490865003,"[{""line"": 0.5, ""stake"": 49.924373053500005, ""outcome"": ""win"", ""pnl"": 47.42815440082501, ""total_return"": 97.35252745432501}, {""line"": 1.0, ""stake"": 49.924373053500005, ""outcome"": ""win"", ""pnl"": 47.42815440082501, ""total_return"": 97.35252745432501}]"
E0_2324_0120,2023-11-25 12:30:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,home,home,False,home,-0.75,1.97,-0.75,-0.75,1.97,1.97,0.7682373728845052,0.4987277353689566,0.4987277353689566,0.4987277353689566,0.4987277353689566,0.4987277353689566,0.4987277353689566,0.26950963751554863,0.0,0.0,0.5364747457690104,100.79730919501651,fractional_kelly,fractional_kelly+max_stake_cap,0.5293068294664693,0.01,10079.730919501651,9978.933610306634,0.010000000000000056,51.75212302430261,0.5134276245824752,lose,-100.79730919501651,-1.0,0.0,"[{""line"": -1.0, ""stake"": 50.398654597508255, ""outcome"": ""lose"", ""pnl"": -50.398654597508255, ""total_return"": 0.0}, {""line"": -0.5, ""stake"": 50.398654597508255, ""outcome"": ""lose"", ""pnl"": -50.398654597508255, ""total_return"": 0.0}]"
