provider_match_id,kickoff_time_utc,competition,source_market,model_name,model_approach,side,handicap_line,odds,model_probability,implied_probability,edge,confidence_score,stake,stake_policy,stake_reason,raw_kelly_fraction,applied_stake_fraction,bankroll_before,bankroll_after,drawdown_after,outcome,pnl,roi,total_return,components_json
E0_2324_0032,2023-09-02 15:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,0.5,1.9,0.8269356742810504,0.5165394402035622,0.3103962340774882,0.6538713485621008,100.0,fractional_kelly,fractional_kelly+max_stake_cap,0.6346419790377731,0.01,10000.0,10090.0,0.0,win,90.0,0.9,190.0,"[{""line"": 0.5, ""stake"": 100.0, ""outcome"": ""win"", ""pnl"": 90.0, ""total_return"": 190.0}]"
E0_2324_0033,2023-09-02 15:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,-1.25,2.07,0.8601567858617327,0.4732824427480916,0.3868743431136411,0.7203135717234654,100.9,fractional_kelly,fractional_kelly+max_stake_cap,0.7294621932091464,0.01,10090.0,10039.55,0.005000000000000072,half-lose,-50.45,-0.5,50.45,"[{""line"": -1.5, ""stake"": 50.45, ""outcome"": ""lose"", ""pnl"": -50.45, ""total_return"": 0.0}, {""line"": -1.0, ""stake"": 50.45, ""outcome"": ""push"", ""pnl"": 0.0, ""total_return"": 50.45}]"
E0_2324_0034,2023-09-02 15:00:00+00:00,E0,NON_HKJC,logistic_regression,direct_cover,away,-2.25,1.9,0.9732701380240858,0.5165394402035622,0.45673069782052356,0.9465402760481716,100.3955,fractional_kelly,fractional_kelly+max_stake_cap,0.943570291384181,0.01,10039.55,9939.154499999999,0.014950000000000125,lose,-100.3955,-1.0,0.0,"[{""line"": -2.5, ""stake"": 50.19775, ""outcome"": ""lose"", ""pnl"": -50.19775, ""total_return"": 0.0}, {""line"": -2.0, ""stake"": 50.19775, ""outcome"": ""lose"", ""pnl"": -50.19775, ""total_return"": 0.0}]"
